No.,Height,Width
1,21,19
2,16,15
3,21,19
4,32,30
5,41,33
6,30,29
7,12,12
8,14,15
9,17,16
10,20,18
11,22,19
12,28,25
13,30,27
14,33,29
15,13,12
16,18,16
17,31,26
18,28,25
19,27,23
20,22,18
